id,플랫폼,제목,URL,게시자,구독자 수,게시일,좋아요 수,댓글 수,조회수
1,youtube,"자기소개서, 면접 무엇을 드러내야 하나?_취업성공 전략특강Ⅱ",https://www.youtube.com/watch?v=PFqyyIqGNb4,한국조세재정연구원,3480,2023. 02. 13.,22,-,597
2,youtube,면접관이 5초만 봐도 합격시키고 싶은 자소서 작성법 3가지,https://www.youtube.com/watch?v=eGv5EAMF8OQ,면접왕 이형,552000,2020. 08. 27.,40350,612,1959678
3,youtube,자소서가 자유양식이라서 고민이라고요? 저와 함께라면 문제 없습니다😎 | #강민혁_자기소개서,https://www.youtube.com/watch?v=Os5Y3RgzU6g,강민혁,102000,2022. 01. 25.,1133,30,44734
4,youtube,3년 전에 쓴 자소서 읽어보았습니다.. 😨｜자기소개서 작성 꿀팁은 덤!｜New 보령! 2022 하반기 공채 룩킹 포 어텐션 💘 2탄 자소서편,https://www.youtube.com/watch?v=dyqTwmEPtCQ,보령,14400,2022. 09. 16.,237,332,3349
5,youtube,"자기소개서 회사/직무 경험이 없는데 어떻게 적어야 할까요? | 자소서 쓰는법, 자소서, 자소서 첨삭, 자기소개서 예시,자기소개서 항목,자소서 첨삭,자기소개서 첨삭,취업특강",https://www.youtube.com/watch?v=bLa-B4sLfQE,취업강의 1위 l 해커스잡·공기업,68400,2019. 10. 4.,7,1,955
6,youtube,자소서 패러다임을 바꾸자 자기소개서 작성법 강좌,https://www.youtube.com/watch?v=FMeVyoBS1DM,ESUP,5380,2018. 05. 21.,70,3,3276
7,youtube,자기소개서 직무역량 이렇게 녹여내면 합격한다!,https://www.youtube.com/watch?v=_vyf1OiYJjE,커리어브릿지,2500,2021. 10. 3.,32,0,4053
8,youtube,"자기소개서 쓰는법? 기업 홈페이지의 인재상으로만 자소서 쉽게 쓰는 방법!｜취업 준비? 질문 있습니다!｜해커스잡 권준영｜자소서 인재상, 기업 인재상, 자기소개서 인재상",https://www.youtube.com/watch?v=6ouvCZzT0aA,취업강의 1위 l 해커스잡·공기업,68400,2020. 01. 28.,107,2,7245
9,youtube,자기소개서에 쓸 만한 경험이 없다는 사람 필수 시청!! [자소서 꿀TIP],https://www.youtube.com/watch?v=_WvIeQOPFhU,AND (인싸담당자),340000,2018. 09. 3.,2494,104,186886
10,youtube,"자기소개서 지원동기 작성방법 - 지원동기는 직무역량을 나타내는 전공교육, 직업교육, 경험, 경력 사항으로 본인의 강점을 표현해야 합니다.",https://www.youtube.com/watch?v=Fl-2fER_RV4,"좀 알면 되는 취업비법들, ZOMBis",2150,2020. 05. 21.,6,2,708
11,youtube,"[취업] 자기소개서, 이력서 등의 서류제출, 최적의 타이밍이 있을까?",https://www.youtube.com/watch?v=8P71DBF5gF4,내일부터 출근,28800,2021. 03. 19.,39,9,4017
12,youtube,자소서 쓰는 꿀팁! 다 알려드립니다!😎(feat. 달고나 커피) [응답하라 세종교육],https://www.youtube.com/watch?v=wQ_Zq54yAfk,세종시교육청,9630,2020. 03. 20.,133,18,5030
13,youtube,지원동기? 직무관련 경험? 어차피 자소서에 정답은 정해져 있다 [취보라04],https://www.youtube.com/watch?v=3OQl5OY8IeE,AND (인싸담당자),340000,2022. 03. 10.,453,-,16296
14,youtube,지원동기를 가장 쉽고 빠르게 쓰는 3가지 방법 | 하나 골라서 쓰면 됨! [마스터 자소서],https://www.youtube.com/watch?v=fTAyW9a0NBA,AND (인싸담당자),340000,2019. 09. 4.,17004,381,1117260
15,youtube,"자기소개서 문항의 숨겨진 비밀, 합격하고 싶다면 이렇게 쓰셔야합니다｜해커스잡 권준영",https://www.youtube.com/watch?v=047mq_HCT6o,취업강의 1위 l 해커스잡·공기업,68400,2023. 01. 11.,16,1,844
16,naver blog,"자기소개서 학창시절,자소서 학교생활",https://blog.naver.com/hw3731/221959099011,희원다움,"1,682",2020. 05. 12.,17,1,-
17,naver blog,"[짧은 답변] Q54. 나이는 많은데, 사회 경험은 별로 없다면 자소서를 어떤 식으로 써야 할까요?",https://blog.naver.com/mentogonam/222001837025,멘토 고남이,-,2020. 06. 15.,3,2,-
18,naver blog,자소서 학창시절 작성 어렵다면 꼭 합격자소서 참고!,https://blog.naver.com/ay54werh7/222198294666,Limi,247,2021. 01. 6.,0,0,-
19,naver blog,자소서 학창시절 항목에 반드시 써야하는 이것?!,https://blog.naver.com/nobrano/222467211788,허겁직업,-,2021. 08. 12.,-,0,-
20,naver blog,인담자의 이목을 사로잡는 자소서 학창시절 작성법,https://blog.naver.com/anacondal/220611491507,팩트폭력배,-,2016. 01. 28.,1,0,-
21,naver blog,자소서학창시절 직무별 키포인트만 알면 문제없다,https://blog.naver.com/career_bang/220761136292,즐겁구낭,85,2016. 07. 13.,-,0,-
22,naver blog,자소서 학창시절 이렇게 쓰기. 합격을 위한 진짜 꿀팁,https://blog.naver.com/dokgodie0220/222476259639,독고,-,2021. 08. 19.,-,0,-
23,naver blog,2023학년도 직무중심 자기소개서 경진대회 참여 & 수상 후기,https://blog.naver.com/dju1980/223179987435,대전대학교,-,2023. 08. 10.,-,0,-
24,naver blog,[꿈날개 우수코칭사례]자기소개서 주요 문항별 작성 포인트!,https://blog.naver.com/dreamgodream/223116337689,꿈날개,-,2023. 05. 31.,11,2,-
25,naver blog,"자기소개서 성장과정, 성격의 장단점 예시, 자소서 쓰는 법 공부",https://blog.naver.com/claykim999/223138970542,월천실현가,"8,613",2023. 06. 26.,71,7,-
26,naver blog,[자기소개서] 취업 준비 실무 자기소개서 작성 꿀팁,https://blog.naver.com/hoho_kjw/223136800239,인클라우드에듀,-,2023. 06. 23.,3,0,-
27,naver blog,2023년 한국도로공사 (ex) 인턴 자기소개서 항목풀이,https://blog.naver.com/nsandyk/223136508993,젊다네,"19,401",2023. 06. 23.,10,2,-
28,naver blog,이력서 자기소개서 핵심을 알면 올바른 작성방법이 보입니다.,https://blog.naver.com/jobssuda/223134025308,잡s수다,-,2023. 06. 20.,27,1,-
29,naver blog,자기소개서 역량 쓰는TIP (공통역량/직무역량),https://blog.naver.com/nobrano/223140271245,허겁직업,-,2023. 06. 27.,-,1,-
30,naver blog,직무중심 자기소개서 경진대회 참여 후기,https://blog.naver.com/dju1980/223138701024,대전대학교,-,2023. 06. 26.,-,1,-
31,brunch,유튜브 자기소개서 4번째 지원자는 인턴에 합격하였습니다,https://brunch.co.kr/@parisboys/196,상업용 부동산 글을 쓰는 민성식입니다,"1,061",2020. 09. 17.,12,0,-
32,brunch,"좋은 이력서, 자기소개서 작성하는 방법",https://brunch.co.kr/@myjun160514/14,마이준,3,2023. 04. 04.,9,0,-
33,brunch,SK온 2023년 상반기 수시 채용과 자기소개서 작성,https://brunch.co.kr/@clearthinking/495,브레인튜너,166,2023. 05. 31.,13,0,-
34,brunch,란의 글쓰기 노트 19,https://brunch.co.kr/@leeran929/35,이란,8,2023. 06. 25.,8,0,-
35,brunch,0. 자기소개서 쓰기는 사실 재밌습니다.,https://brunch.co.kr/@idoleeeeee/9,아이돌리,18,2023. 03. 25.,6,0,-
36,brunch,챗GPT로 자기소개서 쓰면 X되는 이유,https://brunch.co.kr/@mingzi93/130,남현우 대표,155,2023. 03. 23.,8,0,-
37,brunch,"자기소개서는 미리 쓰고, 자주 수정해야 한다",https://brunch.co.kr/@mail0/105,임용,199,2023. 04. 28.,13,0,-
38,brunch,2. 자기소개서는 면접까지 가기 위한 수단입니다.,https://brunch.co.kr/@idoleeeeee/8,아이돌리,18,2023. 03. 25.,14,0,-
39,brunch,"자기소개서 하나로 연봉 1,000만 원 올리는 방법",https://brunch.co.kr/@mingzi93/128,남현우 대표,155,2023. 02. 11.,9,0,-
40,brunch,33번째 기업 자기소개서 수정,https://brunch.co.kr/@f82919024e1a447/785,하얀 얼굴 학생,57,2022. 11. 26.,9,0,-
41,brunch,자기소개서 쓰는 법,https://brunch.co.kr/@sjraintree/163,손정 강사 작가,132,2022. 12. 04.,8,0,-
42,brunch,"자기소개서 문항별 작성법
(나의 장, 단점)",https://brunch.co.kr/@8309fa1ab38b45a/18,최지우,37,2023. 04. 25.,11,0,-
43,brunch,이력서와 자기소개서 작성의 필수요소,https://brunch.co.kr/@ysb8460/120,윤승범,77,2023. 05. 08.,5,0,-
44,brunch,자기소개서 작성 순서,https://brunch.co.kr/@3f909cf4e264431/3,문설의 첨삭연구소,1,2022. 09. 27.,4,0,-
45,brunch,차별화된 자기소개서,https://brunch.co.kr/@supportship/82,Ohgooni,75,2023. 04. 04.,9,0,-
