제목,URL,게시자,구독자,게시일,좋아요,조회수
"자기소개서, 면접 무엇을 드러내야 하나?_취업성공 전략특강Ⅱ",https://www.youtube.com/watch?v=PFqyyIqGNb4,한국조세재정연구원,구독자 3.31천명,5개월 전,17,조회수 463회
면접관이 5초만 봐도 합격시키고 싶은 자소서 작성법 3가지,https://www.youtube.com/watch?v=eGv5EAMF8OQ,면접왕 이형,구독자 54.1만명,2년 전,3.8만,조회수 186만회
자소서가 자유양식이라서 고민이라고요? 저와 함께라면 문제 없습니다😎 | #강민혁_자기소개서,https://www.youtube.com/watch?v=Os5Y3RgzU6g,강민혁,구독자 10만명,1년 전,983,조회수 3.8만회
3년 전에 쓴 자소서 읽어보았습니다.. 😨｜자기소개서 작성 꿀팁은 덤!｜New 보령! 2022 하반기 공채 룩킹 포 어텐션 💘 2탄 자소서편,https://www.youtube.com/watch?v=dyqTwmEPtCQ,보령,구독자 1.21만명,10개월 전,234,조회수 3.1천회
"자기소개서 회사/직무 경험이 없는데 어떻게 적어야 할까요? | 자소서 쓰는법, 자소서, 자소서 첨삭, 자기소개서 예시,자기소개서 항목,자소서 첨삭,자기소개서 첨삭,취업특강",https://www.youtube.com/watch?v=bLa-B4sLfQE,취업강의 1위 l 해커스잡·공기업,구독자 6.53만명,3년 전,7,조회수 937회
자소서 패러다임을 바꾸자 자기소개서 작성법 강좌,https://www.youtube.com/watch?v=FMeVyoBS1DM,ESUP,구독자 5.35천명,5년 전,70,조회수 3.2천회
자기소개서 직무역량 이렇게 녹여내면 합격한다!,https://www.youtube.com/watch?v=_vyf1OiYJjE,커리어브릿지,구독자 2.09천명,1년 전,30,조회수 3.6천회
"자기소개서 쓰는법? 기업 홈페이지의 인재상으로만 자소서 쉽게 쓰는 방법!｜취업 준비? 질문 있습니다!｜해커스잡 권준영｜자소서 인재상, 기업 인재상, 자기소개서 인재상",https://www.youtube.com/watch?v=6ouvCZzT0aA,취업강의 1위 l 해커스잡·공기업,구독자 6.53만명,3년 전,104,조회수 7.1천회
자소서에 쓸 만한 경험이 없다는 사람 필수 시청!! [자소서 꿀TIP],https://www.youtube.com/watch?v=_WvIeQOPFhU,AND (ft.인싸담당자),구독자 32.2만명,4년 전,2.4천,조회수 18만회
"자기소개서 지원동기 작성방법 - 지원동기는 직무역량을 나타내는 전공교육, 직업교육, 경험, 경력 사항으로 본인의 강점을 표현해야 합니다.",https://www.youtube.com/watch?v=Fl-2fER_RV4,"좀 알면 되는 취업비법들, ZOMBis",구독자 2.17천명,3년 전,6,조회수 653회
"[취업] 자기소개서, 이력서 등의 서류제출, 최적의 타이밍이 있을까?",https://www.youtube.com/watch?v=8P71DBF5gF4,내일부터 출근,구독자 2.62만명,2년 전,36,조회수 3.6천회
자소서 쓰는 꿀팁! 다 알려드립니다!😎(feat. 달고나 커피) [응답하라 세종교육],https://www.youtube.com/watch?v=wQ_Zq54yAfk,세종시교육청,구독자 9.18천명,3년 전,134,조회수 4.9천회
지원동기? 직무관련 경험? 어차피 자소서에 정답은 정해져 있다 [취보라04],https://www.youtube.com/watch?v=3OQl5OY8IeE,AND (ft.인싸담당자),구독자 32.2만명,1년 전,428,조회수 1.5만회
지원동기를 가장 쉽고 빠르게 쓰는 3가지 방법 | 하나 골라서 쓰면 됨! [마스터 자소서],https://www.youtube.com/watch?v=fTAyW9a0NBA,AND (ft.인싸담당자),구독자 32.2만명,3년 전,1.6만,조회수 109만회
"자소서 합격하려면 이렇게 쓰셔야합니다｜해커스잡 권준영｜자기소개서 예시, 자소서 쓰는법",https://www.youtube.com/watch?v=047mq_HCT6o,취업강의 1위 l 해커스잡·공기업,구독자 6.53만명,6개월 전,14,조회수 671회
